S4_GelataTuber_up	S5_GelataTuber_up	S6_GelataTuber_up	S7_GelataTuber_basal	S8_GelataTuber_basal	S9_GelataTuber_basal
GelC01G00310	5.93505356569502	6.02998091160012	5.83331007479653	6.5743739691361	6.76579445768002	6.56105444360394
GelC01G00311	5.05286355692275	4.92831450934159	4.97956393088713	5.09310032629669	4.96482104009625	4.69244016496616
GelC01G00312	6.08018259757197	6.14957787972062	5.58520214089218	5.95614574906551	6.13185967248779	6.02318425178223
GelC01G00314	5.628951339405	5.64426807204757	5.90597001069517	5.32634166705148	5.33264189662575	5.63111803947925
GelC01G00315	6.05320915086456	5.87498436460778	6.23279680041469	6.50687546496885	6.36842293628413	6.07021167722089
GelC01G00316	3.43899719574761	3.11513386470431	4.48336700683855	1.8645047051651	0.681403792875104	2.03949649971371
GelC01G00325	5.86956231534517	5.86503321705524	5.56949854663094	4.3843091256725	4.21198746825225	4.65926948772762
GelC01G00327	1.90448046181428	2.27267886224507	1.38866518756505	2.54087209975248	1.3848055451204	2.40229573858968
GelC01G00328	5.03459254450726	5.01186116276019	4.57009755597689	5.2866434627677	5.43027276376015	5.46189501025464
GelC01G00332	5.54753610168951	5.46482543003675	5.05668482172788	5.42105595237421	5.66039159612209	5.57293344798032
GelC01G00333	3.1976043578422	3.59617204451289	3.35629114656245	3.2946010691998	3.14712919039875	3.6478718150213
GelC01G00336	3.23008141519945	3.38956072338005	3.60249447171058	4.96482131021463	5.30348928984683	4.5905485529585
GelC01G00337	2.19510105418711	2.00912238308737	2.2318245447355	4.01478388456228	3.71051619120429	3.13958209490398
GelC01G00338	7.06917576953644	7.29201421526661	5.74286162693614	3.37251485135209	3.41585499065427	3.73535455217787
GelC01G00339	3.82651806335481	4.36213612586029	4.26676187083272	3.66861120330449	3.83797530385748	3.4026966801328
GelC01G00340	5.07984340577504	5.41112673234004	3.93216387766496	6.5011054061459	6.26636069643968	5.63680948835182
GelC01G00341	6.14973949082742	6.0476852670173	5.83768700315714	6.47779159065138	6.55623984071077	6.53080720543377
GelC01G00342	5.7681567246764	5.57880330695693	4.95560018189378	5.37131646396668	5.24335497578822	5.44252838549136
